FAENA,CONDUCTOR,VEHICULO,FECHA,HORA,TURNO,TIPO,Detected type,Duration (sec),VELOCIDAD,Distance covered (metres),SUB TIPO,LATITUD ,LONGITUD
VAR,,1650- LLWZ31,1/11/2020,00:22:46,Noche,Distracción,Fatiga,"1,54",38.00,16.00,conducción distraída,-33.364641,-70.487247
VAR,,1368 - HWVV83,1/11/2020,16:57:20,Día,Distracción,Mirada ausente,"3,14",38.00,33.00,conducción distraída,-33.388333,-70.756944
VAR,,1240 - GWKL16,1/11/2020,01:42:48,Noche,Distracción,Distracción,"3,15",90.00,78.00,conducción distraída,-33.377283,-70.749493
VAR,,1563 - KVWX92(MDEF),1/13/2020,18:04:27,Día,Distracción,Mirada ausente,"4,09",30.00,34.00,conducción distraída,-33.526389,-70.705833
VAR,,1555 - KVWX83(M DE F),1/13/2020,12:31:27,Día,Distracción,Mirada ausente,"3,36",35.00,32.00,conducción distraída,-33.893056,-70.734722
VAR,,1650- LLWZ31,1/13/2020,10:13:27,Día,Distracción,Distracción,"3,96",37.00,41.00,conducción distraída,-33.147120,-70.698738
VAR,,1669 - LRTK86,1/13/2020,10:05:46,Día,Distracción,Distracción,"3,89",42.00,46.00,conducción distraída,-33.526655,-70.706208
VAR,,1240 - GWKL16,1/13/2020,20:40:11,Noche,Distracción,Distracción,"3,04",42.00,36.00,conducción distraída,-33.373926,-70.745066
VAR,,1240 - GWKL16,1/13/2020,23:52:15,Noche,Distracción,Distracción,"3,09",43.00,37.00,conducción distraída,-33.294756,-70.355533
VAR,,1240 - GWKL16,1/13/2020,23:53:20,Noche,Distracción,Distracción,"3,13",45.00,39.00,conducción distraída,-33.300558,-70.358140
VAR,,1555 - KVWX83(M DE F),1/13/2020,14:25:26,Día,Distracción,Mirada ausente,"3,14",82.00,72.00,conducción distraída,-33.355833,-70.704722
VAR,,1555 - KVWX83(M DE F),1/13/2020,12:53:13,Día,Distracción,Mirada ausente,"4,29",88.00,104.00,conducción distraída,-33.722222,-70.728333
VAR,,1242 - GWKL18,1/14/2020,12:04:24,Día,Distracción,Mirada ausente,"3,86",31.00,33.00,conducción distraída,-33.315278,-70.705556
VAR,,1667 - LRTK84,1/14/2020,15:04:59,Día,Distracción,Distracción,"3,04",35.00,30.00,conducción distraída,-33.158185,-70.332214
VAR,,1240 - GWKL16,1/14/2020,00:31:18,Noche,Distracción,Distracción,"3,11",36.00,31.00,conducción distraída,-33.369986,-70.461842
VAR,,1650- LLWZ31,1/14/2020,21:25:50,Noche,Distracción,Distracción,"3,57",36.00,36.00,conducción distraída,-33.342826,-70.363849
VAR,,1240 - GWKL16,1/14/2020,23:33:20,Noche,Distracción,Distracción,"3,35",36.00,33.00,conducción distraída,-33.158612,-70.331169
VAR,,1672 - LRTK89,1/14/2020,09:48:34,Día,Distracción,Mirada ausente,"3,43",38.00,36.00,conducción distraída,-33.154167,-70.667222
VAR,,1658 - LLWZ23,1/14/2020,18:15:48,Día,Distracción,Fatiga,"1,68",40.00,19.00,conducción distraída,-33.196012,-70.339035
VAR,,1240 - GWKL16,1/14/2020,23:31:47,Noche,Distracción,Distracción,"3,42",43.00,41.00,conducción distraída,-33.160092,-70.323910
VAR,,1240 - GWKL16,1/14/2020,22:41:09,Noche,Distracción,Distracción,"3,17",45.00,40.00,conducción distraída,-33.216567,-70.340895
VAR,,1555 - KVWX83(M DE F),1/14/2020,16:32:21,Día,Distracción,Mirada ausente,"3,25",70.00,64.00,conducción distraída,-33.216389,-70.767500
VAR,,1555 - KVWX83(M DE F),1/14/2020,11:24:53,Día,Distracción,Mirada ausente,"3,20",87.00,78.00,conducción distraída,-33.000000,-70.878611
VAR,,1670 - LRTK87,1/14/2020,04:34:00,Noche,Distracción,Mirada ausente,"3,09",88.00,75.00,conducción distraída,-33.468889,-70.761389
VAR,,1671- LRTK88,1/14/2020,14:33:12,Día,Distracción,Fatiga,"1,96",89.00,49.00,conducción distraída,-33.373828,-70.719333
VAR,,1242 - GWKL18,1/15/2020,09:44:22,Día,Distracción,Fatiga,"2,58",32.00,23.00,conducción distraída,-33.283333,-70.743333
VAR,,1243 - GWKL19,1/15/2020,19:20:24,Día,Distracción,Fatiga,"1,82",39.00,20.00,notificación de conducir distraído,-33.386111,-70.752500
